species_slug,585215,585220,580220,580215,625165,625170,550185,575210,600200,575245,545180,575215,151,252,300,301,154,572,573,226,251,145,maps
allium-schoenoprasum,0,0,0,0,0,1,0,0,1,1,1,0,1,1,0,0,1,0,0,1,1,0,['625170' '600200' '575245' '545180' '151' '252' '154' '226' '251']
allium-scorodoprasum,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,['600200' '573' '251']
allium-sphaerocephalon,0,1,1,1,0,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,0,0,"['585220' '580220' '580215' '625170' '550185' '575210' '545180' '575215'
 '151' '301' '154' '572' '573' '226']"
allium-suaveolens,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,['252']
allium-ursinum,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"['585215' '585220' '580220' '580215' '625165' '550185' '600200' '575245'
 '545180' '575215' '151' '252' '300' '301' '154' '572' '573' '226' '251'
 '145']"
allium-victorialis,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,['151' '154' '572' '573']
allium-vineale,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,"['585220' '580220' '580215' '550185' '575210' '600200' '575245' '545180'
 '575215' '151' '252' '300' '301' '154' '573' '226' '251' '145']"
alnus-glutinosa,1,1,1,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,2,1,"['585215' '585220' '580220' '580215' '625165' '625170' '550185' '575210'
 '600200' '575245' '545180' '151' '252' '300' '301' '154' '572' '573'
 '226' '251' '145']"
alnus-incana,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,"['585215' '580220' '625165' '625170' '550185' '575210' '600200' '575245'
 '545180' '151' '252' '300' '301' '154' '572' '573' '226' '251' '145']"
alnus-viridis,0,0,0,0,1,2,1,0,1,0,1,0,0,1,0,0,1,2,1,1,0,0,"['625165' '625170' '550185' '600200' '545180' '252' '154' '572' '573'
 '226']"
alopecurus-aequalis,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,0,['580220' '600200' '575215' '151' '252' '301' '573' '251']
alopecurus-geniculatus,0,1,0,0,0,0,0,1,1,0,1,0,1,1,0,1,1,0,1,0,1,1,"['585220' '575210' '600200' '545180' '151' '252' '301' '154' '573' '251'
 '145']"
alopecurus-myosuroides,1,1,1,1,0,0,1,0,1,1,1,0,1,1,1,1,1,0,0,1,1,1,"['585215' '585220' '580220' '580215' '550185' '600200' '575245' '545180'
 '151' '252' '300' '301' '154' '226' '251' '145']"
alopecurus-pratensis,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,"['585215' '585220' '580220' '625165' '625170' '550185' '575210' '600200'
 '575245' '545180' '151' '252' '300' '301' '154' '572' '573' '226' '251'
 '145']"
althaea-hirsuta,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,['600200' '154' '251']
althaea-officinalis,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,['545180' '154' '226' '251' '145']
alyssum-alyssoides,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,0,0,1,1,1,['600200' '575245' '545180' '575215' '151' '301' '154' '226' '251' '145']
alyssum-montanum,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,['580220' '600200' '151' '154' '251']
alyssum-murale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,['251']
amaranthus-albus,1,1,1,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,0,1,1,0,"['585215' '585220' '580220' '600200' '545180' '151' '252' '301' '154'
 '226' '251']"
amaranthus-blitoides,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,['300']
amaranthus-blitum,1,2,1,0,0,0,1,0,1,0,2,1,2,2,1,1,1,0,1,2,2,1,"['585215' '585220' '580220' '550185' '600200' '545180' '575215' '151'
 '252' '300' '301' '154' '573' '226' '251' '145']"
amaranthus-bouchonii,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,1,['600200' '545180' '151' '226' '251' '145']
amaranthus-caudatus,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,['600200' '545180' '154' '226']
amaranthus-cruentus,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,['545180' '154' '226']
amaranthus-deflexus,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,['585220' '154']
amaranthus-emarginatus,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,1,0,['585215' '600200' '545180' '252' '300' '154' '251']
amaranthus-graecizans,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,['600200' '573' '251']
amaranthus-hybridus,2,1,0,0,0,0,1,1,1,1,1,1,2,1,1,1,1,0,1,1,2,1,"['585215' '585220' '550185' '575210' '600200' '575245' '545180' '575215'
 '151' '252' '300' '301' '154' '573' '226' '251' '145']"
amaranthus-hypochondriacus,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,['575210' '600200' '575245' '545180' '575215' '151' '226' '251']
amaranthus-powellii,0,1,0,0,0,0,0,1,1,0,1,1,1,1,0,0,1,0,0,1,1,0,"['585220' '575210' '600200' '545180' '575215' '151' '252' '154' '226'
 '251']"
amaranthus-retroflexus,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,"['585215' '585220' '580215' '550185' '575210' '600200' '575245' '545180'
 '575215' '151' '252' '300' '301' '154' '226' '251' '145']"
ambrosia-artemisiifolia,0,1,1,0,0,1,1,0,1,1,1,0,1,1,0,0,1,0,1,1,1,1,"['585220' '580220' '625170' '550185' '600200' '575245' '545180' '151'
 '252' '154' '573' '226' '251' '145']"
ambrosia-trifida,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,['154']
amelanchier-lamarckii,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,['600200' '251']
amelanchier-ovalis,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,"['585220' '580220' '580215' '625170' '550185' '575210' '600200' '575245'
 '545180' '575215' '151' '301' '154' '572' '573' '226' '251' '145']"
ammi-majus,0,1,0,1,0,1,0,0,0,0,1,0,1,1,0,1,1,0,0,0,1,0,['585220' '580215' '625170' '545180' '151' '252' '301' '154' '251']
amorpha-fruticosa,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,['580215' '151']
anacamptis-pyramidalis,1,2,2,2,0,0,1,0,2,2,1,2,2,2,1,1,2,0,0,1,2,2,"['585215' '585220' '580220' '580215' '550185' '600200' '575245' '545180'
 '575215' '151' '252' '300' '301' '154' '226' '251' '145']"
anagallis-arvensis,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,"['585215' '585220' '580220' '580215' '625170' '550185' '575210' '600200'
 '575245' '545180' '575215' '151' '252' '300' '301' '154' '572' '226'
 '251' '145']"
anagallis-foemina,0,0,1,0,0,0,0,0,1,0,1,1,1,0,1,1,1,0,0,1,1,0,['580220' '600200' '545180' '575215' '151' '300' '301' '154' '226' '251']
anagallis-minima,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,['585220' '252' '300' '301' '154' '145']
anaphalis-margaritacea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,['154']
anchusa-arvensis,1,1,1,0,0,0,1,0,1,0,1,1,1,1,1,0,1,0,0,1,1,0,"['585215' '585220' '580220' '550185' '600200' '545180' '575215' '151'
 '252' '300' '154' '226' '251']"
anchusa-italica,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,['545180' '154' '226' '251']
anchusa-officinalis,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,"['625170' '575210' '600200' '575245' '151' '300' '301' '154' '572' '573'
 '226' '251' '145']"
andromeda-polifolia,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,['625170' '572']
androsace-chamaejasme,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,['625170' '572' '573']
androsace-lactea,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,['580220' '625170' '154' '572']
androsace-obtusifolia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,['573']
anemone-apennina,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,['600200' '251']
anemone-blanda,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,['585220' '600200' '301' '154' '251']
anemone-hupehensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,['251']
anemone-narcissiflora,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,['625165' '625170' '572' '573']
anemone-nemorosa,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"['585215' '585220' '580220' '580215' '625165' '625170' '575210' '600200'
 '575245' '545180' '575215' '151' '252' '300' '301' '154' '572' '573'
 '226' '251' '145']"
anemone-ranunculoides,1,1,0,1,0,0,0,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,"['585215' '585220' '580215' '600200' '575245' '545180' '151' '252' '300'
 '301' '154' '573' '226' '251' '145']"
anethum-graveolens,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,['600200' '545180' '154' '226' '251']
angelica-sylvestris,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,"['585215' '585220' '580220' '625165' '625170' '550185' '575210' '600200'
 '575245' '545180' '575215' '151' '252' '300' '301' '154' '572' '573'
 '226' '251' '145']"
antennaria-carpatica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,['573']
antennaria-dioica,1,0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,1,1,1,0,0,1,"['585215' '580220' '625165' '625170' '600200' '151' '300' '154' '572'
 '573' '145']"
anthemis-arvensis,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,1,1,1,1,['600200' '575245' '252' '300' '154' '573' '226' '251' '145']
anthemis-cotula,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,['585215' '600200' '151' '252' '300' '154' '251']
anthemis-tinctoria,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,"['585220' '580215' '550185' '575210' '600200' '575245' '545180' '575215'
 '151' '252' '300' '301' '154' '573' '226' '251' '145']"
anthericum-liliago,0,0,1,1,0,1,1,1,1,0,0,1,1,0,0,1,1,1,0,1,1,0,"['580220' '580215' '625170' '550185' '575210' '600200' '575215' '151'
 '301' '154' '572' '226' '251']"
anthericum-ramosum,0,1,1,1,0,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,0,1,"['585220' '580220' '580215' '625170' '575210' '600200' '575245' '575215'
 '151' '252' '301' '154' '572' '573' '145']"
