species_slug,BL,WL,under_sampled,red_list,cert_list,lists
polystichum-setiferum,0,0,0,1,0,['red_list']
populus-alba,0,0,0,1,1,['red_list' 'cert_list']
populus-nigra,0,0,0,1,1,['red_list' 'cert_list']
populus-tremula,0,0,0,1,1,['red_list' 'cert_list']
portulaca-oleracea,0,0,0,1,0,['red_list']
potamogeton-acutifolius,0,0,0,1,0,['red_list']
potamogeton-alpinus,0,0,0,1,0,['red_list']
potamogeton-berchtoldii,0,0,0,1,0,['red_list']
potamogeton-coloratus,0,0,0,1,0,['red_list']
potamogeton-compressus,0,0,0,1,0,['red_list']
potamogeton-crispus,0,0,0,1,0,['red_list']
potamogeton-filiformis,0,0,0,1,0,['red_list']
potamogeton-friesii,0,0,0,1,0,['red_list']
potamogeton-gramineus,0,0,0,1,0,['red_list']
potamogeton-helveticus,0,0,0,1,0,['red_list']
potamogeton-lucens,0,0,0,1,0,['red_list']
potamogeton-natans,0,0,0,1,0,['red_list']
potamogeton-nodosus,0,0,0,1,0,['red_list']
potamogeton-obtusifolius,0,0,0,1,0,['red_list']
potamogeton-pectinatus,0,0,0,1,0,['red_list']
potamogeton-perfoliatus,0,0,0,1,0,['red_list']
potamogeton-polygonifolius,0,0,0,1,0,['red_list']
potamogeton-praelongus,0,0,0,1,0,['red_list']
potamogeton-pusillus,0,0,0,1,0,['red_list']
potamogeton-trichoides,0,0,0,1,0,['red_list']
potamogeton-×angustifolius,0,0,1,1,0,['under_sampled' 'red_list']
potamogeton-×decipiens,0,0,0,1,0,['red_list']
potamogeton-×nitens,0,0,0,1,0,['red_list']
potentilla-alba,0,0,0,1,0,['red_list']
potentilla-alpicola,0,0,0,1,0,['red_list']
potentilla-anglica,0,0,0,1,0,['red_list']
potentilla-anserina,0,0,0,1,1,['red_list' 'cert_list']
potentilla-argentea,0,0,0,1,0,['red_list']
potentilla-aurea,0,0,0,1,1,['red_list' 'cert_list']
potentilla-brauneana,0,0,1,1,0,['under_sampled' 'red_list']
potentilla-caulescens,0,0,0,1,0,['red_list']
potentilla-cinerea,0,0,0,1,0,['red_list']
potentilla-collina,0,0,0,2,0,['red_list']
potentilla-crantzii,0,0,0,1,1,['red_list' 'cert_list']
