"Invasive Species Compendium",
"Switzerland",
"List of Species",
"The table includes species that are invasive in this region, those for which there is no data on invasive status, and also species that are not invasive in the region but are reported as invasive elsewhere. This summary table is based on all the information available.When several references are cited, they may give conflicting information on the distribution record.Further confirmation should be sought before use. Records are included from full and basic datasheets.",
"Domain","Kingdom","Phylum","Species","Distribution","Origin","Invasive","References","Datasheet Status",
"Eukaryota","Plantae","Spermatophyta","Nonea erecta","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Nonea lutea","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Nymphoides peltata (yellow floating-heart)","Present","Introduced","Invasive","UK, CWRIS (2005)","Full",
"Eukaryota","Plantae","Spermatophyta","Oenothera biennis (common evening primrose)","Present","","","Bohren (2009)","Basic",
"Eukaryota","Plantae","Spermatophyta","Oenothera glazioviana (redsepal evening-primrose)","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Oenothera parviflora","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Ononis natrix","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Onopordum acanthium (scotch thistle)","Present","Native","","Tutin et al. (1976)","Full",
"Eukaryota","Plantae","Spermatophyta","Oplismenus hirtellus subsp. undulatifolius (wavyleaf basketgrass)","Present","","","Scholz (1981); Valdés et al. (2009)","Full",
"Eukaryota","Plantae","Spermatophyta","Opuntia humifusa","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Ornithopus perpusillus","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Orobanche crenata (crenate broomrape)","Present, Localized","","","Borg (1994)","Full",
"Eukaryota","Plantae","Spermatophyta","Orobanche minor (common broomrape)","Present","Native","","Chater and Webb (1972)","Full",
"Eukaryota","Plantae","Spermatophyta","Orobanche ramosa (branched broomrape)","Present","Native","","Chater and Webb (1972)","Full",
"Eukaryota","Plantae","Spermatophyta","Oxalis corniculata (creeping woodsorrel)","Present","","","Q-bank (2013); Valentine (1968)","Full",
"Eukaryota","Plantae","Spermatophyta","Oxytropis pilosa","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Papaver apulum","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Papaver argemone","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Papaver dubium","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Papaver pseudoorientale","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Parthenocissus quinquefolia (Virginia creeper)","Present","Introduced","Invasive","Wittenberg (2005)","Full",
"Eukaryota","Plantae","Spermatophyta","Paspalum dilatatum (dallisgrass)","Present, Only in captivity/cultivation","Introduced","","DAISIE (2017)","Full",
"Eukaryota","Plantae","Spermatophyta","Pastinaca sativa (parsnip)","Present","Native","","Euro+Med PlantBase (2011)","Full",
"Eukaryota","Plantae","Spermatophyta","Paulownia tomentosa (paulownia)","Present, Few occurrences","Introduced","","Horisberger (1997)","Full",
"Eukaryota","Plantae","Spermatophyta","Persicaria wallichii (Himalayan knotweed)","Present","Introduced","","Roskov et al. (2015); EPPO (2020)","Full",
"Eukaryota","Plantae","Spermatophyta","Petrorhagia prolifera","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Petrorhagia saxifraga","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Phalaris arundinacea (reed canary grass)","Present","Native","","USDA-ARS (2003)","Full",
"Eukaryota","Plantae","Spermatophyta","Phalaris paradoxa (awned canary-grass)","Present","Introduced","","USDA-ARS (2016); Holm et al. (1991)","Full",
"Eukaryota","Plantae","Spermatophyta","Phleum hirsutum","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Phleum pratense (timothy grass)","Present","Native","","Kew (2015)","Full",
"Eukaryota","Plantae","Spermatophyta","Phragmites australis (common reed)","Present","Native","","Holm et al. (1991)","Full",
"Eukaryota","Plantae","Spermatophyta","Phyteuma nigrum","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Pilosella aurantiaca (orange hawkweed)","Present","Native","","Sell and West (1976)","Full",
"Eukaryota","Plantae","Spermatophyta","Pilosella caespitosa (yellow hawkweed)","Present, Localized","Native","","Sell and West (1976)","Full",
"Eukaryota","Plantae","Spermatophyta","Pilosella officinarum (mouse-ear hawkweed)","Present, Widespread","Native","","Sell and  West (1976)","Full",
"Eukaryota","Plantae","Spermatophyta","Pimpinella peregrina","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Plantago arenaria","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Plantago coronopus (Buck's-horn plantain)","Present","","","GBIF (2013)","Full",
"Eukaryota","Plantae","Spermatophyta","Plantago lanceolata (ribwort plantain)","Present","Native","","USDA-ARS (2003)","Full",
"Eukaryota","Plantae","Spermatophyta","Poa annua (annual meadowgrass)","Present","","","Edmondson (1980); Clayton et al. (2014)","Full",
"Eukaryota","Plantae","Spermatophyta","Poa bulbosa (bulbous bluegrass)","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Poa compressa (Canada bluegrass)","Present","Native","","Royal Botanic Garden (2015)","Full",
"Eukaryota","Plantae","Spermatophyta","Poa nemoralis (wood bluegrass)","Present","Native","","Royal Botanic Garden Edinburgh (2016); USDA-ARS (2016)","Full",
"Eukaryota","Plantae","Spermatophyta","Poa pratensis (smooth meadow-grass)","Present","Native","","ISSG (2015); Euro+Med (2016)","Full",
"Eukaryota","Plantae","Spermatophyta","Poa supina","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Polemonium caeruleum","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Polycarpon tetraphyllum (fourleaf allseed)","Present","Native","","Euro+Med Plantbase (2009)","Full",
"Eukaryota","Plantae","Spermatophyta","Polygonum arenastrum (common knotweed)","Present","Native","","CABI (Undated)","Full",
"Eukaryota","Plantae","Spermatophyta","Polygonum aviculare (prostrate knotweed)","Present","","","Jalas and Suominen (1979); Holm et al. (1997)","Full",
"Eukaryota","Plantae","Spermatophyta","Polygonum hydropiper (marsh pepper)","Present","","","Holm et al. (1997)","Full",
"Eukaryota","Plantae","Spermatophyta","Polygonum lapathifolium (pale persicaria)","Present","Native","","USDA-ARS (2019); TUTIN and ET AL. (1964)","Full",
"Eukaryota","Plantae","Spermatophyta","Polygonum persicaria (redshank)","Present","Native","","Royal Botanic Garden Edinburgh (2003)","Full",
"Eukaryota","Plantae","Spermatophyta","Populus alba (silver-leaf poplar)","Present","Native","","USA, USDA-ARS (2008)","Full",
"Eukaryota","Plantae","Spermatophyta","Populus nigra (black poplar)","Present","","","CABI (Undated)","Full",
"Eukaryota","Plantae","Spermatophyta","Portulaca oleracea (purslane)","Present","Introduced","","Walters (1964)","Full",
"Eukaryota","Plantae","Spermatophyta","Potamogeton crispus (curlyleaf pondweed)","Present","Native","","EUNIS (2008)","Full",
"Eukaryota","Plantae","Spermatophyta","Potentilla goldbachii","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Potentilla intermedia","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Potentilla multifida","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Potentilla recta","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Potentilla supina","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Primula elatior","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Prunella vulgaris (self-heal)","Present","Native","","WCSP (2016); Suter et al. (2007)","Full",
"Eukaryota","Plantae","Spermatophyta","Prunus serotina (black cherry)","Present, Planted","Introduced","Invasive","CABI (Undated); EPPO (2020)","Full",
"Eukaryota","Plantae","Spermatophyta","Puccinellia distans (weeping alkali grass)","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Pueraria montana var. lobata (kudzu)","Present, Few occurrences","Introduced","","EPPO (2007); Swiss Commission for Wild Plant Conservation (2003); EPPO (2020)","Full",
"Eukaryota","Plantae","Spermatophyta","Pyracantha coccinea (scarlet firethorn)","Present","Native","","USDA-ARS (2017)","Full",
"Eukaryota","Plantae","Spermatophyta","Ranunculus aconitifolius","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Ranunculus ficaria (fig buttercup)","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Ranunculus flammula","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Ranunculus gramineus","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Ranunculus muricatus","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Ranunculus sardous","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Raphanus raphanistrum (wild radish)","Present","","","CABI (Undated); CABI (Undated)","Full",
"Eukaryota","Plantae","Spermatophyta","Rapistrum perenne","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Rhamnus cathartica (buckthorn)","Present","Native","","Tutin (1968)","Full",
"Eukaryota","Plantae","Spermatophyta","Rhinanthus major","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Rhus typhina (staghorn sumac)","Present","Introduced","","Lenzin et al. (2004)","Full",
"Eukaryota","Plantae","Spermatophyta","Robinia pseudoacacia (black locust)","Present","Introduced","Invasive","CABI (Undated)","Full",
"Eukaryota","Plantae","Spermatophyta","Rorippa austriaca (Austrian fieldcress)","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Rosa rugosa (rugosa rose)","Present, Few occurrences","Introduced","","Bruun (2005)","Full",
"Eukaryota","Plantae","Spermatophyta","Rosmarinus officinalis (rosemary)","Present","Introduced","","Royal Botanic Garden (2014)","Full",
"Eukaryota","Plantae","Spermatophyta","Rostraria cristata","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Rubus armeniacus (Himalayan blackberry)","Present","Introduced","Invasive","Wittenberg (2005)","Full",
"Eukaryota","Plantae","Spermatophyta","Rubus fruticosus (blackberry)","Present","Native","","Royal Botanic Garden Edinburgh (2003)","Full",
"Eukaryota","Plantae","Spermatophyta","Rudbeckia laciniata (cutleaf coneflower)","Present","Introduced","","USDA-ARS (2015)","Full",
"Eukaryota","Plantae","Spermatophyta","Rumex acetosella (sheep's sorrel)","Present","Native","","USDA-ARS (2013)","Full",
"Eukaryota","Plantae","Spermatophyta","Rumex confertus","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Rumex crispus (curled dock)","Present","","","Schubiger (1986)","Full",
"Eukaryota","Plantae","Spermatophyta","Rumex obtusifolius (broad-leaved dock)","Present","Native","Invasive","Holm et al. (1979); Suter et al. (2007); Bohren (2009)","Full",
"Eukaryota","Plantae","Spermatophyta","Rumex scutatus","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Sagina procumbens","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Sagittaria latifolia (broadleaf arrowhead)","Present","Introduced","","Hess (1998)","Full",
"Eukaryota","Plantae","Spermatophyta","Sagittaria sagittifolia","Present","","","Oertli et al. (2018)","Basic",
"Eukaryota","Plantae","Spermatophyta","Salix cinerea (grey sallow)","Present","Native","","USA, USDA-ARS (2008)","Full",
"Eukaryota","Plantae","Spermatophyta","Salix eleagnos","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Salix fragilis (crack willow)","Present","Native","","CABI (Undated)","Full",
"Eukaryota","Plantae","Spermatophyta","Salvia glutinosa","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Salvia pratensis","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Salvia verticillata","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Sambucus nigra (elder)","Present","Native","","Tinner et al. (1999); Michel (2009); Michel et al. (2013)","Full",
"Eukaryota","Plantae","Spermatophyta","Saxifraga hirsuta","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Schoenoplectiella supina","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Schoenoplectus mucronatus (ricefield bulrush)","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Scilla bifolia","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Scrophularia auriculata","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Scrophularia canina","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Securigera varia (crown vetch)","Present","Native","","USDA-ARS (2016)","Full",
"Eukaryota","Plantae","Spermatophyta","Sedum hispanicum","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Sedum sarmentosum","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Sedum sediforme","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Sempervivum arachnoideum","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Senecio erucifolius","Present","","","Bohren (2009)","Basic",
"Eukaryota","Plantae","Spermatophyta","Senecio inaequidens (South African ragwort)","Present","Introduced","","Mayor (1996); Bohren (2009); EPPO (2020)","Full",
"Eukaryota","Plantae","Spermatophyta","Senecio jacobaea (common ragwort)","Present, Widespread","Native","","Reichenbach and Reichenbach (1854); Chater and Walters (1976); Suter et al. (2007); Bohren (2009)","Full",
"Eukaryota","Plantae","Spermatophyta","Senecio nemorensis","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Senecio squalidus subsp. rupestris","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Senecio sylvaticus (woodland groundsel)","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Senecio vulgaris","Present, Widespread","Native","","Reichenbach and Reichenbach (1854); Chater and Walters (1976)","Full",
"Eukaryota","Plantae","Spermatophyta","Setaria verticillata (bristly foxtail)","Present","","","Clayton (1980)","Full",
"Eukaryota","Plantae","Spermatophyta","Silene conica","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Silene dichotoma","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Silene dioica","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Silene latifolia subsp. alba (white campion)","Present","Native","","USDA-ARS (2015)","Full",
"Eukaryota","Plantae","Spermatophyta","Silene vulgaris (bladder campion)","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Sisymbrium irio","Present","Introduced","","USDA-ARS (2013)","Full",
"Eukaryota","Plantae","Spermatophyta","Sisyrinchium montanum","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Solanum chenopodioides","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Solanum elaeagnifolium (silverleaf nightshade)","Absent, Formerly present","","","EPPO (2020)","Full",
"Eukaryota","Plantae","Spermatophyta","Solanum nigrum (black nightshade)","Present","","","Vogel and Gutzwiller (1993)","Full",
"Eukaryota","Plantae","Spermatophyta","Solanum tuberosum (potato)","Present","","","Werra et al. (2015)","Full",
"Eukaryota","Plantae","Spermatophyta","Solidago canadensis (Canadian goldenrod)","Present","Introduced","Invasive","Bohren (2009); Royal Botanic Garden (2014); EPPO (2020)","Full",
"Eukaryota","Plantae","Spermatophyta","Solidago gigantea (giant goldenrod)","Present","Introduced","Invasive","Royal Botanic Garden Edinburgh (2003); Bohren (2009); EPPO (2020)","Full",
"Eukaryota","Plantae","Spermatophyta","Solidago graminifolia","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Sonchus asper (spiny sow-thistle)","Present","Native","","USDA-ARS (2018); Suter et al. (2007)","Full",
"Eukaryota","Plantae","Spermatophyta","Sonchus oleraceus (common sowthistle)","Present","","","Schinz and Keller (1900); Boulos (1976); Suter et al. (2007); USDA-ARS (2014)","Full",
"Eukaryota","Plantae","Spermatophyta","Sorghum halepense (Johnson grass)","Present","Introduced","","Schmitt (1995)","Full",
"Eukaryota","Plantae","Spermatophyta","Spergula arvensis (corn spurry)","Present","","","Ratter and Akeroyd (1993)","Full",
"Eukaryota","Plantae","Spermatophyta","Spergularia rubra","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Spiraea chamaedryfolia (germander meadowsweet)","Present","Introduced","","Roskov et al. (2017)","Full",
"Eukaryota","Plantae","Spermatophyta","Stachys arvensis (staggerweed)","Present","Native","","Govaerts (2014); USDA-ARS (2014)","Full",
"Eukaryota","Plantae","Spermatophyta","Stachys officinalis","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Stachys recta","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Stellaria graminea","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Stellaria media (common chickweed)","Present","","","Chater and Heywood (1972); Weiss and Nentwig (1992)","Full",
"Eukaryota","Plantae","Spermatophyta","Stipa capillata","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Symphyotrichum novae-angliae","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Symphyotrichum novi-belgii (New York aster)","Present","Introduced","Invasive","DAISIE (2016); Schinz and  Keller (1914)","Full",
"Eukaryota","Plantae","Spermatophyta","Tamarix gallica (French tamarisk)","Present, Localized","Native","","Baum (1978)","Full",
"Eukaryota","Plantae","Spermatophyta","Tamarix parviflora (small-flower tamarisk)","Present","","","Germann and Moretti (2009)","Full",
"Eukaryota","Plantae","Spermatophyta","Tanacetum vulgare (tansy)","Present, Widespread","Native","","Tutin et al. (1976)","Full",
"Eukaryota","Plantae","Spermatophyta","Taraxacum officinale complex (dandelion)","Present","Introduced","","Keller (1986)","Full",
"Eukaryota","Plantae","Spermatophyta","Tetragonia tetragonioides (New Zealand spinach)","Present, Only in captivity/cultivation","Introduced","","Déséglise (1881)","Full",
"Eukaryota","Plantae","Spermatophyta","Teucrium chamaedrys","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Thalictrum aquilegiifolium","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Thalictrum minus","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Thalictrum simplex","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Thlaspi alliaceum","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Thlaspi arvense (field pennycress)","Present","Native","","Clapham (1972); Holm et al. (1997); USDA-ARS (2019)","Full",
"Eukaryota","Plantae","Spermatophyta","Thlaspi perfoliatum","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Thymus pulegioides","Present","","","CABI Data Mining (2011); Suter et al. (2007)","Basic",
"Eukaryota","Plantae","Spermatophyta","Tolpis barbata","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Torilis leptophylla","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Trapa natans (waterchestnut)","Present","Native","","Invasive Species Specialist Group (2007)","Full",
"Eukaryota","Plantae","Spermatophyta","Trifolium aureum (hop clover)","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Trifolium constantinopolitanum","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Trifolium echinatum","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Trifolium medium","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Trifolium montanum","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Trifolium patens","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Trifolium spadiceum","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Trifolium squamosum","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Trifolium striatum","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Tulipa gesneriana","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Typha angustifolia (lesser bulrush)","Present","Native","","Chambers et al. (2008)","Full",
"Eukaryota","Plantae","Spermatophyta","Typha latifolia (broadleaf cattail)","Present","Native","","USA, USDA-ARS (2010)","Full",
"Eukaryota","Plantae","Spermatophyta","Typha laxmannii","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Typha x glauca (hybrid cattail)","Present","Native","","Krattinger et al. (1979)","Full",
"Eukaryota","Plantae","Spermatophyta","Ulex europaeus (gorse)","Present","Native","","Zwölfer (1962); Wittenberg (2005); ILDIS (2007)","Full",
"Eukaryota","Plantae","Spermatophyta","Urtica dioica (stinging nettle)","Present","","","Maniyar et al. (2013); USDA-ARS (2015)","Full",
"Eukaryota","Plantae","Spermatophyta","Urtica urens (annual nettle)","Present","","","TUTIN et al. (1964)","Full",
"Eukaryota","Plantae","Spermatophyta","Valerianella eriocarpa","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Verbascum thapsus (common mullein)","Present","Native","","ISSG (2014)","Full",
"Eukaryota","Plantae","Spermatophyta","Verbesina encelioides (golden crownbeard)","Absent, Unconfirmed presence record(s)","","","EPPO (2020); Tutin et al. (1976)","Full",
"Eukaryota","Plantae","Spermatophyta","Veronica anagallis-aquatica (blue water speedwell)","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Veronica beccabunga (European speedwell)","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Veronica chamaedrys","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Veronica filiformis","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Veronica officinalis","Present","","","CABI Data Mining (2011); Michel et al. (2018)","Basic",
"Eukaryota","Plantae","Spermatophyta","Veronica polita","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Veronica prostrata","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Veronica serpyllifolia (thymeleaf speedwell)","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Veronica triphyllos","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Vicia dumetorum","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Vicia hybrida","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Vicia lutea","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Vicia onobrychioides","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Vicia parviflora","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Vicia peregrina","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Vicia pisiformis","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Vicia sylvatica","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Vicia villosa (hairy vetch)","Present","Native","","ILDIS (2015)","Full",
"Eukaryota","Plantae","Spermatophyta","Viola obliqua","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Viola suavis","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Vulpia bromoides (squirreltail fescue)","Present","Native","","USDA-ARS (2012)","Full",
"Eukaryota","Plantae","Spermatophyta","Vulpia ciliata","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Vulpia myuros (annual fescue)","Present","Native","","Royal Botanic Garden Edinburgh (2013)","Full",
"Eukaryota","Plantae","Spermatophyta","Vulpia unilateralis","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Spermatophyta","Wisteria sinensis (Chinese wisteria)","Present, Localized","Introduced","","CABI (Undated)","Full",
"Eukaryota","Plantae","Spermatophyta","Xanthium spinosum (bathurst burr)","Present","Introduced","","GBIF (2013); Royal Botanic Garden Edinburgh (2013)","Full",
"Eukaryota","Plantae","Spermatophyta","Xanthium strumarium (common cocklebur)","Present","","","CABI (Undated)","Full",
"Eukaryota","Plantae","Spermatophyta","Xeranthemum annuum","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Plantae","Streptophyta","Campylopus introflexus","Present","Introduced","","Bisang et al. (1998)","Full",
"Eukaryota","Protista","Protozoa","Babesia","Absent, No presence record(s)","","","OIE Handistatus (2005)","Basic",
"Eukaryota","Protista","Protozoa","Trypanosoma equiperdum","Absent, No presence record(s)","","","OIE Handistatus (2005)","Full",
"Eukaryota","Protista","Protozoa","Trypanosoma evansi","Absent, No presence record(s)","","","OIE Handistatus (2005)","Full",
"Virus","","","African horse sickness virus","Absent, No presence record(s)","","","OIE Handistatus (2005)","Full",
"Virus","","","African swine fever virus","Absent, No presence record(s)","","","OIE Handistatus (2005)","Full",
"Virus","","","alcelaphine herpesvirus 1","Present","","","OIE Handistatus (2005)","Full",
"Virus","","","Avipoxvirus","Present","","","Bouvier (1946); Zangger and Muller (1990)","Full",
"Virus","","","Barley yellow dwarf viruses (barley yellow dwarf)","Present, Localized","","","KOBEL (1961); UK, CAB International (1969); EPPO (2014)","Full",
"Virus","","","bluetongue virus","Absent, No presence record(s)","","","OIE Handistatus (2005)","Full",
"Virus","","","bovine herpesvirus 1","Present","","","OIE Handistatus (2005)","Full",
"Virus","","","bovine viral diarrhea virus","Present","","","OIE Handistatus (2005)","Full",
"Virus","","","caprine arthritis encephalitis virus","Present","","","OIE Handistatus (2005)","Full",
"Virus","","","equine arteritis virus","Present","","","OIE Handistatus (2005)","Full",
"Virus","","","equine infectious anaemia virus","Absent, No presence record(s)","","","OIE Handistatus (2005)","Full",
"Virus","","","equine influenzavirus","Absent, No presence record(s)","","","OIE Handistatus (2005)","Full",
