"Invasive Species Compendium",
"Switzerland",
"List of Species",
"The table includes species that are invasive in this region, those for which there is no data on invasive status, and also species that are not invasive in the region but are reported as invasive elsewhere. This summary table is based on all the information available.When several references are cited, they may give conflicting information on the distribution record.Further confirmation should be sought before use. Records are included from full and basic datasheets.",
"Domain","Kingdom","Phylum","Species","Distribution","Origin","Invasive","References","Datasheet Status",
"Eukaryota","Metazoa","Arthropoda","Cicurina japonica","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Metazoa","Arthropoda","Coccinella septempunctata (seven-spot ladybird)","Present","Native","","Kajita et al. (2012); de Jong et al. (2014); Lecompte et al. (2016)","Full",
"Eukaryota","Metazoa","Arthropoda","Cochliomyia hominivorax (New World screwworm)","Absent, No presence record(s)","","","OIE (2009)","Full",
"Eukaryota","Metazoa","Arthropoda","Coleophora deauratella (red clover casebearer)","Present","Native","","Mori et al. (2016); Fauna Europaea (2018)","Full",
"Eukaryota","Metazoa","Arthropoda","Coleosoma floridanum","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Metazoa","Arthropoda","Corythucha ciliata (sycamore lace bug)","Present, Widespread","Introduced","Invasive","Maceljski (1986); CABI and EPPO (2013); EPPO (2020)","Full",
"Eukaryota","Metazoa","Arthropoda","Cryptococcus fagisuga (beech coccus)","Present","","","UK, CAB International (1979); Kosztarab and Kozár (1988)","Full",
"Eukaryota","Metazoa","Arthropoda","Cryptopleurum subtile","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Metazoa","Arthropoda","Cydalima perspectalis (box tree moth)","Present, Widespread","Introduced","Invasive","Kappeli (2008); Leuthardt et al. (2010); CABI/EPPO (2012); Leuthardt and Baur (2013); Nacambo et al. (2014); EPPO (2020)","Full",
"Eukaryota","Metazoa","Arthropoda","Dendroctonus micans (great spruce bark beetle)","Present, Localized","","","Wood and Bright (1992); EPPO (2020)","Full",
"Eukaryota","Metazoa","Arthropoda","Dendrolimus pini (pine-tree lappet)","Present","","","CABI Data Mining (undated)","Basic",
"Eukaryota","Metazoa","Arthropoda","Diabrotica virgifera virgifera (western corn rootworm)","Present, Transient under eradication","Introduced","Invasive","Kiss et al. (2005); CABI/EPPO (2012); EPPO (2020)","Full",
"Eukaryota","Metazoa","Arthropoda","Diaspidiotus osborni","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Metazoa","Arthropoda","Diaspidiotus perniciosus (San José scale)","Present","","","Kosztarab and Kozár (1988); EPPO (2020)","Full",
"Eukaryota","Metazoa","Arthropoda","Dictyna civica","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Metazoa","Arthropoda","Dicyphus escalerae","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Metazoa","Arthropoda","Dikerogammarus villosus (killer shrimp)","Present","Introduced","","Bollache (2004); Lods-Crozet and Reymond (2006)","Full",
"Eukaryota","Metazoa","Arthropoda","Dinoderus bifoveolatus","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Metazoa","Arthropoda","Diplocephalus graecus","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Metazoa","Arthropoda","Diprion similis (white pine sawfly)","Present, Localized","Native","","Barbey (1924); Liston (1995)","Full",
"Eukaryota","Metazoa","Arthropoda","Dorypteryx pallida","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Metazoa","Arthropoda","Dreyfusia nordmannianae (silver fir adelges)","Present","Introduced","","Foottit et al. (2009)","Full",
"Eukaryota","Metazoa","Arthropoda","Drosophila curvispina","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Metazoa","Arthropoda","Drosophila suzukii (spotted wing drosophila)","Present, Widespread","Introduced","","Kehrli et al. (2012); Kehrli et al. (2013); CABI and EPPO (2016); Kenis et al. (2016); EPPO (2020)","Full",
"Eukaryota","Metazoa","Arthropoda","Dryocoetes himalayensis","Present","","","EPPO (2020)","Basic",
"Eukaryota","Metazoa","Arthropoda","Dryocosmus kuriphilus (Oriental chestnut gall wasp)","Present, Localized","","","EPPO (2020); CABI and EPPO (2015)","Full",
"Eukaryota","Metazoa","Arthropoda","Ectopsocus pumilis","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Metazoa","Arthropoda","Ectopsocus richardsi","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Metazoa","Arthropoda","Ectopsocus vachoni","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Metazoa","Arthropoda","Edaphus beszedesi","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Metazoa","Arthropoda","Elatobium abietinum (green spruce aphid)","Present","Native","","Maksymov (1961); Kloft et al. (1964); Maksymov (1981)","Full",
"Eukaryota","Metazoa","Arthropoda","Eperigone eschatologica","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Metazoa","Arthropoda","Eperigone trilobata","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Metazoa","Arthropoda","Ephestia kuehniella (Mediterranean flour moth)","Present","","","Babendreier et al. (2003)","Full",
"Eukaryota","Metazoa","Arthropoda","Epuraea ocularis","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Metazoa","Arthropoda","Erigone autumnalis","Present","","","CABI Data Mining (2011)","Basic",
"Eukaryota","Metazoa","Arthropoda","Eriosoma lanigerum (woolly aphid)","Present, Widespread","","","UK, CAB International (1975)","Full",
"Eukaryota","Metazoa","Arthropoda","Eulachnus rileyi (pine needle aphid)","Present","","","NHM (1968)","Full",
