No ISFS,Full Name,Short Name,Family,"200 Bellis","400 Iris","600 Dryas",Indigenat,"F value","R value","N value"
60500,Betula pubescens Ehrh.,Betula pubescens,Betulaceae,,,*,I,4,x,2
62000,Biscutella laevigata L.,Biscutella laevigata,Brassicaceae,,,*,I,2.5,4,2
62500,Blechnum spicant (L.) Roth,Blechnum spicant,Blechnaceae,,,*,I,2.5,1,2
63300,Botrychium lunaria (L.) Sw.,Botrychium lunaria,Ophioglossaceae,,,*,I,3,3,2
64000,Brachypodium pinnatum aggr.,Brachypodium pinnatum aggr.,Poaceae,,*,*,I,2,4,3
64200,Brachypodium sylvaticum (Huds.) P. Beauv.,Brachypodium sylvaticum,Poaceae,,*,*,I,3.5,3,3
65200,Briza media L.,Briza media,Poaceae,*,*,*,I,2,4,2
65695,Bromus erectus Huds.,Bromus erectus,Poaceae,*,*,*,I,2,4,2
66000,Bromus hordeaceus L.,Bromus hordeaceus,Poaceae,*,*,*,ARCH,3,3,4
67200,Bromus sterilis L.,Bromus sterilis,Poaceae,*,*,*,ARCH,2,3,4
67300,Bromus tectorum L.,Bromus tectorum,Poaceae,,*,*,ARCH,1,3,4
67700,Buddleja davidii Franch.,Buddleja davidii,Scrophulariaceae,,*,*,NEO,2,4,3
71400,Calamagrostis varia (Schrad.) Host,Calamagrostis varia,Poaceae,,*,*,I,3.5,4,2
73600,Calluna vulgaris (L.) Hull,Calluna vulgaris,Ericaceae,*,*,*,I,3,1,2
73700,Caltha palustris L.,Caltha palustris,Ranunculaceae,*,*,*,I,5,3,3
73900,Calystegia sepium (L.) R. Br.,Calystegia sepium,Convolvulaceae,*,*,*,I,3.5,4,4
74700,Campanula barbata L.,Campanula barbata,Campanulaceae,,,*,I,3,2,2
75200,Campanula cochleariifolia Lam.,Campanula cochleariifolia,Campanulaceae,,,*,I,3.5,5,2
77000,Campanula rhomboidalis L.,Campanula rhomboidalis,Campanulaceae,,*,*,I,3,3,4
77100,Campanula rotundifolia L.,Campanula rotundifolia,Campanulaceae,*,*,*,I,2,3,2
77200,Campanula scheuchzeri Vill.,Campanula scheuchzeri,Campanulaceae,,,*,I,2.5,3,3
77600,Campanula trachelium L.,Campanula trachelium,Campanulaceae,,*,*,I,3.5,4,3
77900,Capsella bursa-pastoris (L.) Medik.,Capsella bursa-pastoris,Brassicaceae,*,*,*,I,2,3,4
78800,Cardamine heptaphylla (Vill.) O. E. Schulz,Cardamine heptaphylla,Brassicaceae,,*,*,I,3.5,4,4
78900,Cardamine hirsuta L.,Cardamine hirsuta,Brassicaceae,*,*,*,ARCH,3,3,4
