acceptedtaxonkey,acceptedscientificname,numberofoccurrences,kingdom,phylum,class,order,family,genus,species
5359249,trifolium rubens l.,2038,plantae,tracheophyta,magnoliopsida,fabales,fabaceae,trifolium,trifolium rubens
5360475,trigonella foenum-graecum l.,5,plantae,tracheophyta,magnoliopsida,fabales,fabaceae,trigonella,trigonella foenum-graecum
5361801,parietaria judaica l.,563,plantae,tracheophyta,magnoliopsida,rosales,urticaceae,parietaria,parietaria judaica
5365379,potentilla cinerea chaix ex vill.,35,plantae,tracheophyta,magnoliopsida,rosales,rosaceae,potentilla,potentilla cinerea
5390848,gnaphalium uliginosum l.,1178,plantae,tracheophyta,magnoliopsida,asterales,asteraceae,gnaphalium,gnaphalium uliginosum
6109637,cynodon dactylon (l.) pers.,1090,plantae,tracheophyta,liliopsida,poales,poaceae,cynodon,cynodon dactylon
7294722,cerinthe minor l.,7,plantae,tracheophyta,magnoliopsida,boraginales,boraginaceae,cerinthe,cerinthe minor
7323876,cuscuta scandens brot.,32,plantae,tracheophyta,magnoliopsida,solanales,convolvulaceae,cuscuta,cuscuta scandens
7488366,festuca halleri var. halleri,17,plantae,tracheophyta,liliopsida,poales,poaceae,festuca,festuca halleri
7631456,primula integrifolia l.,896,plantae,tracheophyta,magnoliopsida,ericales,primulaceae,primula,primula integrifolia
8001549,androsace lactea l.,750,plantae,tracheophyta,magnoliopsida,ericales,primulaceae,androsace,androsace lactea
3092576,silphium perfoliatum l.,9,plantae,tracheophyta,magnoliopsida,asterales,asteraceae,silphium,silphium perfoliatum
5290126,tragus racemosus (l.) all.,418,plantae,tracheophyta,liliopsida,poales,poaceae,tragus,tragus racemosus
5318877,epipactis bugacensis subsp. rhodanensis (gévaudan & robatsch) wucherpf.,355,plantae,tracheophyta,liliopsida,asparagales,orchidaceae,epipactis,epipactis bugacensis
5346020,astragalus depressus l.,283,plantae,tracheophyta,magnoliopsida,fabales,fabaceae,astragalus,astragalus depressus
5359121,trifolium pallescens schreb.,696,plantae,tracheophyta,magnoliopsida,fabales,fabaceae,trifolium,trifolium pallescens
5375012,arabis procurrens waldst. & kit.,13,plantae,tracheophyta,magnoliopsida,brassicales,brassicaceae,arabis,arabis procurrens
7223279,cynara cardunculus subsp. cardunculus,1,plantae,tracheophyta,magnoliopsida,asterales,asteraceae,cynara,cynara cardunculus
8058123,vaccinium vitis-idaea subsp. vitis-idaea,213,plantae,tracheophyta,magnoliopsida,ericales,ericaceae,vaccinium,vaccinium vitis-idaea
8237138,moenchia mantica (l.) bartl.,95,plantae,tracheophyta,magnoliopsida,caryophyllales,caryophyllaceae,moenchia,moenchia mantica
2650198,botrychium matricariifolium (döll) a.br. ex koch,60,plantae,tracheophyta,polypodiopsida,ophioglossales,ophioglossaceae,botrychium,botrychium matricariifolium
2724584,carex lachenalii schkuhr,335,plantae,tracheophyta,liliopsida,poales,cyperaceae,carex,carex lachenalii
2927026,salvia glutinosa l.,2577,plantae,tracheophyta,magnoliopsida,lamiales,lamiaceae,salvia,salvia glutinosa
3152614,abutilon theophrasti medik.,229,plantae,tracheophyta,magnoliopsida,malvales,malvaceae,abutilon,abutilon theophrasti
5329434,najas minor all.,68,plantae,tracheophyta,liliopsida,alismatales,hydrocharitaceae,najas,najas minor
5334277,lonicera periclymenum l.,1718,plantae,tracheophyta,magnoliopsida,dipsacales,caprifoliaceae,lonicera,lonicera periclymenum
5369701,geum rivale l.,6062,plantae,tracheophyta,magnoliopsida,rosales,rosaceae,geum,geum rivale
7436512,pedicularis tuberosa l.,1854,plantae,tracheophyta,magnoliopsida,lamiales,orobanchaceae,pedicularis,pedicularis tuberosa
2890541,geranium purpureum vill.,1246,plantae,tracheophyta,magnoliopsida,geraniales,geraniaceae,geranium,geranium purpureum
3049314,euclidium syriacum (l.) w.t.aiton,11,plantae,tracheophyta,magnoliopsida,brassicales,brassicaceae,euclidium,euclidium syriacum
8352976,gentiana utriculosa l.,452,plantae,tracheophyta,magnoliopsida,gentianales,gentianaceae,gentiana,gentiana utriculosa
2700839,luzula lutea dc.,1746,plantae,tracheophyta,liliopsida,poales,juncaceae,luzula,luzula lutea
2730906,cyperus flavescens l.,599,plantae,tracheophyta,liliopsida,poales,cyperaceae,cyperus,cyperus flavescens
2880580,quercus cerris l.,120,plantae,tracheophyta,magnoliopsida,fagales,fagaceae,quercus,quercus cerris
3024146,eriobotrya japonica (thunb.) lindl.,68,plantae,tracheophyta,magnoliopsida,rosales,rosaceae,eriobotrya,eriobotrya japonica
